id,fund_id,manager_ar,manager_en,name_en,name_ar,short_name_ar,short_name_en,objective,category_ar,category_en,goals_ar,goals_en,sharia_compliant,logo,compare_index_ar,compare_index_en,inception_date,inception_price,currency,investment_percent,profit,risk,duration,index,ratio,aum,valuation_date,valuation_days_ar,valuation_days_en,announcement_days_ar,announcement_days_en,nav_per_unit,show,created_at,updated_at,minimum_subscription
"1","001001","شركة الرياض المالية","Riyad Capital Company","Riyad USD Diversified Trade Fund","صندوق الرياض للمتاجرة المتنوع بالدولار","المتاجرة المتنوع بالدولار",\N,"3","صناديق أسواق النقد - دولية",\N,\N,\N,"1","Riyad.png","سعر تكلفة التمويل بين البنوك بالدوالر األمريكي لمدة ثلاثة شهور",\N,"1988-06-18","19.6592","USD","47222040","4.07","1","",\N,\N,"205490579.7","2023-01-10","من الأحد حتى الأربعاء","Sunday to Wednesday","من الأحد حتى الأربعاء","Sunday to Wednesday","27.9051","0","2021-10-28 18:49:10","2023-01-12 04:17:55","2,500"
"4","009043","شركة الأهلي المالية","SNB Capital","SNB Capital Sovereign Sukuk Fund - Class A","صندوق الأهلي للصكوك السيادية - فئة أ","سامبا للصكوك أ",\N,"1","صناديق أدوات دين - محلية",\N,\N,\N,"1","samba.jpg","سايبور لمدة ثلاثة شهور",\N,"2019-04-18","10.8328","SAR","0","-4.91","1","",\N,\N,"68572432.32","2022-05-10","يومي","Daily","يومي","Daily","10.1221","0","2021-10-28 18:49:10","2023-01-09 04:05:19","50,000,000"
"5","006027","شركة الأول للاستثمار","Alawwal Invest","Alawwal Invest China and India Equity Freestyle Fund","صندوق الأول للإستثمار لأسھم الصین والھند المرن","أسهم الصين والهند",\N,"1","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"1","HSBC.png","",\N,"2005-12-12","9.9832","USD","0","3.15","3","",\N,\N,"19882032.24","2023-01-05","الإثنين والخميس","Monday and Thursday","الأحد والثلاثاء","Sunday and Tuesday","29.7146","0","2021-10-28 18:49:10","2023-01-09 04:05:19","2,000"
"6","139004","شركة اشمور للاستثمار السعودية","Ashmore Investment Saudi Arabia","Ashmore GCC Diversified Trade Fund","صندوق أشمور الخليجي المتنوع للمتاجرة","الخليجي المتنوع للمتاجرة",\N,"1","صناديق أسواق النقد - مرابحة بالريال السعودي",\N,\N,\N,"1","Ashmore.jpg","سايبور ثلاثة أشهر",\N,"2016-03-21","10","SAR","0","2.17","2","",\N,\N,"115231746","2023-01-05","يومي","Daily","يومي","Daily","11.1631","0","2021-10-28 18:49:10","2023-01-09 04:05:18","10,000"
"7","152004","أرباح المالية","Arbah Capital","Arbah GCC Liquidity Fund","صندوق أرباح الخليجي للسيولة","أرباح الخليجي للسيولة",\N,"1","صناديق أسواق النقد - محلية",\N,\N,\N,"1","Arbah capital.jpg","سايبر ثلاث شهور",\N,"2018-05-06","10","SAR","0","0.12","2","",\N,\N,"88889963.47","2023-01-10","يومي","Daily","الأحد و الخميس","Sunday and Thursday","11.3579","0","2021-10-28 18:49:10","2023-01-12 04:17:55","10,000"
"9","158008","جي آي بي كابيتال","GIB Capital","GIB Opportunistic MENA Equity Fund - Class (B)","صندوق جي آي بي لفرص أسهم الشرق الأوسط وشمال أفريقيا - الفئة (ب)","فرص أسهم الشرق الأوسط وشمال أفريقيا - ب",\N,"1","صناديق الأسهم - عربية",\N,\N,\N,"0","GIB.png","مؤشر إس آند بي العائد الكلي للأسهم العربية",\N,"2019-10-31","10","SAR","43643580","0","3","",\N,\N,"0","2022-03-13","الأحد والثلاثاء","Sunday and Tuesday","الإثنين و الأربعاء","Monday and Wednesday","10","0","2021-10-28 18:49:10","2022-03-15 07:06:36",\N
"10","158009","جي آي بي كابيتال","GIB Capital","GIB Opportunistic MENA Equity Fund - Class (C)","صندوق جي آي بي لفرص أسهم الشرق الأوسط وشمال أفريقيا - الفئة (ج)","فرص أسهم الشرق الأوسط وشمال أفريقيا - ج",\N,"1","صناديق الأسهم - محلية",\N,\N,\N,"0","GIB.png","مؤشر إس آند بي العائد الكلي للأسهم العربية",\N,"2019-10-31","9.9994","SAR","0","5.99","3","",\N,\N,"55458009.8","2023-05-30","الأحد والثلاثاء","Sunday and Tuesday","الإثنين و الأربعاء","Monday and Wednesday","18.8832","0","2021-10-28 18:49:10","2023-06-01 04:03:55","10,000"
"11","045011","شركة الإنماء للإستثمار","Alinma Investment Company","Bir Ariyadh Waqf Fund","صندوق بر الرياض الوقفي","صندوق بر الرياض الوقفي",\N,"1","صناديق أخرى",\N,\N,\N,"1","alinma.jpg","",\N,"2020-10-18","10","SAR","0","4.06","3","",\N,\N,"62300259.64","2022-12-31","ربع سنوي","Quarterly","ربع سنوي","Quarterly","11.1391","0","2021-10-28 18:49:10","2023-01-09 04:05:19","1,000"
"12","002012","الجزيرة للأسواق المالية","Aljazira Capital","Aljazira Residential Projects Fund 2","صندوق الجزيرة للمشاريع السكنية 2","المشاريع السكنية 2",\N,"1","صناديق عقارية",\N,\N,\N,"1","aljazira.png","",\N,"2014-01-26","100","SAR","96973624","-17.33",\N,"",\N,\N,"18872656","2021-12-31","نصف سنوي","Semi-Annual","نصف سنوي","Semi-Annual","16.4252","0","2021-10-28 18:49:10","2023-01-09 04:05:19","10,000"
"14","003210","شركة الاستثمار للأوراق المالية والوساطة","Alistithmar for Financial Securities and Brokerage","Alistithmar Capital GCC Equity Fund","صندوق الاستثمار كابيتال للأسهم الخليجية","صندوق صائب للأسهم الخليجية",\N,"1","صناديق الأسهم - خليجية",\N,\N,\N,"0","aistithmar capital.png","مؤشر ستاندر آند بورز للأسهم دول مجلس التعاون الخليجي (S&P GCC Composite Price Index in USD) لقياس أداء الصندوق إلا أن استثمارات الصندوق لن تكون مقصورة على الاستثمارات التي تشكل جزء من هذا المؤشر.",\N,"2004-07-24","101.0418","USD","0","0.36","3","",\N,\N,"23491274","2023-01-04","الإثنين و الأربعاء","Monday and Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","372.8985","0","2021-10-28 18:49:10","2023-01-09 04:05:19","5,000"
"22","001032","شركة الرياض المالية","Riyad Capital Company","Riyad  Al Shuja,a Fund","صندوق الرياض الشجاع","الشجاع",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"0","Riyad.png","مؤشر مركب",\N,"2001-06-10","8.8607","SAR","0","1.87","3","",\N,\N,"13810491.86","2023-01-10","من الإثنين حتى الخميس","Monday to Thursday","من الأحد حتى الأربعاء","Sunday to Wednesday","25.7662","0","2021-10-28 18:49:10","2023-01-12 04:17:55","5,000"
"23","001042","شركة الرياض المالية","Riyad Capital Company","Riyad  Al Mutawazen Sharia Fund","صندوق الرياض المتوازن المتوافق مع الشريعة","المتوازن شريعة",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","Riyad.png","مؤشر مركب",\N,"2002-12-31","9.4622","SAR","0","1.16","2","",\N,\N,"20571266.84","2023-01-10","من الإثنين حتى الخميس","Monday to Thursday","من الأحد حتى الأربعاء","Sunday to Wednesday","25.4659","0","2021-10-28 18:49:10","2023-01-12 04:17:55","5,000"
"24","001040","شركة الرياض المالية","Riyad Capital Company","Riyad Al Jarei Sharia Fund","صندوق الرياض الجريء المتوافق مع الشريعة","الجريء شريعة",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","Riyad.png","مؤشر مركب",\N,"2002-12-31","9.0647","SAR","0","2.4","3","",\N,\N,"49447447.6","2023-01-10","من الإثنين حتى الخميس","Monday to Thursday","من الأحد حتى الأربعاء","Sunday to Wednesday","33.3272","0","2021-10-28 18:49:10","2023-01-12 04:17:55","5,000"
"25","011095","شركة الأهلي المالية","SNB Capital","AlAhli SEDCO Residential Development Fund","صندوق الأهلي سدكو للتطوير السكني","صندوق الأهلي سدكو للتطوير السكني",\N,"1","صناديق عقارية",\N,\N,\N,"1","NCB.jpg","صندوق استثمار عقاري مقفل متوافق مع الضوابط الشرعية",\N,"2014-04-28","1.0402","SAR","0","1.02",\N,"",\N,\N,"275267674.85","2022-06-30","نصف سنوي","Semi-Annual","نصف سنوي","Semi-Annual","0.9285","0","2021-10-28 18:49:10","2023-01-09 04:05:19","50,000"
"26","030006","جدوى للإستثمار","Jadwa Investment","Jadwa Global Sukuk Fund - Class B","صندوق جدوى للصكوك العالمية - الفئة ب","صكوك جدوى ب",\N,"1","صناديق أدوات دين - دولية",\N,\N,\N,"1","jadwa.jpg","مؤشر ايدال ريتنجز للصكوك العالمية (اجمالي العائد)",\N,"2007-10-08","99.9814","USD","0","-0.02","3","",\N,\N,"19635979.66","2023-01-05","يومي","Daily","يومي","Daily","133.0723","0","2021-10-28 18:49:10","2023-01-09 04:05:18","1,000"
"27","030022","جدوى للإستثمار","Jadwa Investment","Jadwa Global Sukuk Fund - Class A","صندوق جدوى للصكوك العالمية - الفئة أ","الصكوك أ",\N,"1","صناديق أدوات دين - دولية",\N,\N,\N,"1","jadwa.jpg","مؤشر ايدال ريتنجز للصكوك العالمية (اجمالي العائد",\N,"2018-03-22","99.9865","USD","0","-0.02","3","",\N,\N,"52626785.83","2023-01-05","يومي","Daily","يومي","Daily","97.782","0","2021-10-28 18:49:10","2023-01-09 04:05:19","10,000,000"
"28","030027","جدوى للإستثمار","Jadwa Investment","Jadwa Global Sukuk Fund - Class D","صندوق جدوى للصكوك العالمية - الفئة د","صكوك جدوى د",\N,"1","صناديق أدوات دين - دولية",\N,\N,\N,"1","jadwa.jpg","مؤشر ايدال ريتنجز للصكوك العالمية (اجمالي العائد)",\N,"2007-10-08","10","USD","0","0","3","",\N,\N,"0","2023-01-10","يومي","Daily","يومي","Daily","10","0","2021-10-28 18:49:10","2023-01-12 04:17:55","10"
"29","030001","جدوى للإستثمار","Jadwa Investment","Jadwa Saudi Riyal Murabaha Fund - Class B","صندوق جدوى للمرابحة بالريال السعودي - الفئة ب","مرابحة - ب",\N,"1","صناديق أسواق النقد - مرابحة بالريال السعودي",\N,\N,\N,"1","jadwa.jpg","معدل البائدة على الريال السعودج لمدة شهر ) SIBID ( بعد خصم الأتعاب الإدارية",\N,"2007-06-30","100.0175","SAR","0","2.98","2","",\N,\N,"377046006.98","2023-01-10","يومي","Daily","يومي","Daily","123.6358","0","2021-10-28 18:49:10","2023-01-12 04:17:55","1,000"
"30","030029","جدوى للإستثمار","Jadwa Investment","Jadwa Saudi Riyal Murabaha Fund - Class C","صندوق جدوى للمرابحة بالريال السعودي - الفئة ج","مرابحة - ج",\N,"1","صناديق أسواق النقد - مرابحة بالريال السعودي",\N,\N,\N,"1","jadwa.jpg","معدل الفائدة على الريال السعودي لمدة شهر ) SIBID ( بعد خصم الأتعاب الإدارية",\N,"2020-03-05","10","USD","0","2.1","2","",\N,\N,"5836828.05","2023-01-05","يومي","Daily","يومي","Daily","10.3857","0","2021-10-28 18:49:10","2023-01-09 04:05:19","50"
"34","006023","شركة الأول للاستثمار","Alawwal Invest","Alawwal Invest Multi Assets Balanced Fund","صندوق الأول للإستثمار المتوازن للأصول المتنوعة","المحفظة المتوازنة",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","HSBC.png","",\N,"2004-12-28","11.1938","SAR","0","0.14","2","",\N,\N,"579046564.16","2023-01-04","من الاثنين حتى الاربعاء","Monday to Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","23.2355","0","2021-10-28 18:49:10","2023-01-09 04:05:19","5,000"
"35","006022","شركة الأول للاستثمار","Alawwal Invest","Alawwal Invest Multi Assets Defensive Fund","صندوق الأول للإستثمار الدفاعي للأصول المتنوعة","المحفظة الدفاعية",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","HSBC.png","",\N,"2004-12-28","10.6","SAR","3715321","0.1","2","",\N,\N,"230239317.5","2023-01-04","من الاثنين حتى الاربعاء","Monday to Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","18.0191","0","2021-10-28 18:49:10","2023-01-09 04:05:19","5,000"
"39","001031","شركة الرياض المالية","Riyad Capital Company","Riyad  Al Mutawazen Fund","صندوق الرياض المتوازن","المتوازن",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"0","Riyad.png","مؤشر مركب",\N,"2001-06-10","9.2179","SAR","3875816","1.36","2","",\N,\N,"23010991.01","2023-01-10","من الإثنين حتى الخميس","Monday to Thursday","من الأحد حتى الأربعاء","Sunday to Wednesday","23.2914","0","2021-10-28 18:49:10","2023-01-12 04:17:55","5,000"
"40","001033","شركة الرياض المالية","Riyad Capital Company","Riyad Al Jarei Fund","صندوق الرياض الجريء","الجريء",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"0","Riyad.png","مؤشر مركب",\N,"2001-06-10","8.5173","SAR","12977640","2.13","3","",\N,\N,"21931948.85","2023-01-10","من الإثنين حتى الخميس","Monday to Thursday","من الأحد حتى الأربعاء","Sunday to Wednesday","29.1424","0","2021-10-28 18:49:10","2023-01-12 04:17:55","5,000"
"41","001050","شركة الرياض المالية","Riyad Capital Company","Riyad Emerging Markets Equity Fund","صندوق الرياض لأسهم الأسواق الناشئة","الأسهم الناشئة",\N,"1","صناديق قابضة",\N,\N,\N,"0","Riyad.png","The Benchmark consists of the following: MSCI Index USD China Free (25%)  MSCI Index USD India (25%)  MSCI EM Latin America (25%) and MSCI Index USD EMEA (25%).",\N,"2006-06-02","10.9379","USD","0","5.16","3","",\N,\N,"1509590.93","2023-01-10","من الاثنين حتى الاربعاء","Monday to Wednesday","من الإثنين حتى الخميس","Monday to Thursday","16.3821","0","2021-10-28 18:49:10","2023-01-12 04:17:55","2,500"
"42","001048","شركة الرياض المالية","Riyad Capital Company","Riyad Gulf Equity Fund","صندوق الرياض للأسهم الخليجية","الأسهم الخليجية",\N,"1","صناديق الأسهم - محلية",\N,\N,\N,"1","Riyad.png","مؤشر ستادرد آند بورز للشركات الخليجية )باستثناء السعودية( المتوافقة مع الضوابط الشرعية",\N,"2006-11-14","9.4728","SAR","9928090","-3.67","3","",\N,\N,"141499266.81","2023-06-01","الإثنين و الأربعاء","Daily","الثلاثاء و الخميس","Daily","13.6077","0","2021-10-28 18:49:10","2023-06-05 04:06:28","5,000"
"44","045006","شركة الإنماء للإستثمار","Alinma Investment Company","Alinma Makkah Real Estate Fund","صندوق الإنماء مكة العقاري","مكة العقاري",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","alinma.jpg","",\N,"2018-11-09","9.9985","SAR","0","1.03","2","",\N,\N,"6493518808","2022-06-30","نصف سنوي","Semi-Annual","نصف سنوي","Semi-Annual","10.66","0","2021-10-28 18:49:10","2022-12-18 04:05:25","10,000"
"46","045009","شركة الإنماء للإستثمار","Alinma Investment Company","Alinma Enayah Endowment Fund","صندوق الإنماء عناية الوقفي","صندوق الإنماء عناية الوقفي",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","alinma.jpg","",\N,"2019-10-01","10","SAR","0","1.83","3","",\N,\N,"21611255.75","2022-12-31","ربع سنوي","Quarterly","ربع سنوي","Quarterly","12.0712","0","2021-10-28 18:49:10","2023-01-09 04:05:19","1,000"
"47","002004","الجزيرة للأسواق المالية","Aljazira Capital","AlJazira Japanese Equities Fund","صندوق الجزيرة للأسهم اليابانيه","الجزيرة للأسهم اليابانيه",\N,"1","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"1","aljazira.png","مؤشر داو جونز للأسهم اليابانيه الإسلاميه",\N,"2000-04-17","58.7968","USD","29785186","-1.43","3","",\N,\N,"45175073.14","2023-01-05","الخميس و الاثنين","Thursday and Monday","الأحد والثلاثاء","Sunday and Tuesday","168.2002","0","2021-10-28 18:49:10","2023-01-09 04:05:18","2,000"
"48","002003","الجزيرة للأسواق المالية","Aljazira Capital","AlJazira European Equities Fund","صندوق الجزيرة للأسهم الأوروبيه","الجزيرة للأسهم الأوروبيه",\N,"1","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"1","aljazira.png","مؤشر داو جونز للأسهم الأوروبية الإسلامية",\N,"1999-09-16","73.4347","USD","0","0.28","3","",\N,\N,"43165725.73","2023-01-05","الخميس و الاثنين","Thursday and Monday","الأحد والثلاثاء","Sunday and Tuesday","177.908","0","2021-10-28 18:49:10","2023-01-09 04:05:19","2,000"
"51","008021","شركة العربي الوطني للاستثمار","Arab National Investment Company","Al Mubarak Diyar Jeddah RE Fund","صندوق ديار جدة العقاري المبارك","المبارك ديار جدة",\N,"1","صناديق عقارية",\N,\N,\N,"1","anb.jfif","",\N,"2011-04-05","12.06","SAR","0","-98.79",\N,"",\N,\N,"4634560","2021-06-30","نصف سنوي","Semi-Annual","نصف سنوي","Semi-Annual","0.132","0","2021-10-28 18:49:10","2022-05-30 07:07:41",\N
"52","011024","شركة الأهلي المالية","SNB Capital","SNB Capital Global Healthcare Fund","صندوق الأهلي العالمي للرعاية الصحية","الرعاية الصحية",\N,"1","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"1","NCB.jpg","مؤشر إم إس سي آي الإسلامي العالمي للرعاية الصحية من الفئة إم",\N,"2000-10-30","0.9278","USD","0","0.12","3","",\N,\N,"60231464.47","2023-01-05","يومي","Daily","يومي","Daily","3.1916","0","2021-10-28 18:49:10","2023-01-09 04:05:18","7,500"
"53","011076","شركة الأهلي المالية","SNB Capital","SNB Capital GCC Trading Equity Fund","صندوق الأهلي للمتاجرة بالأسهم الخليجية","الخليجي",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","NCB.jpg","",\N,"2005-10-02","1","SAR","49959000","19.36","3","",\N,\N,"380261604.28","2023-06-06","يومي","Daily","يومي","Daily","1.8553","0","2021-10-28 18:49:10","2023-06-08 05:00:11","5,000"
"54","011089","شركة الأهلي المالية","SNB Capital","SNB Capital Emerging Markets Index Fund","صندوق الأهلي لمؤشر أسهم الأسواق الناشئة","الأهلي لمؤشر أسهم الأسواق الناشئة",\N,"1","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"1","NCB.jpg","مؤشر ستاندرد آند بورز للأسواق الناشئة المتوافقة مع أحكام الشريعة الإسلامية",\N,"2006-10-09","1","USD","0","2.7","3","",\N,\N,"86417320.33","2023-01-05","من الإثنين حتى الخميس","Monday to Thursday","يومي","Daily","1.6291","0","2021-10-28 18:49:10","2023-01-09 04:05:18","7,500"
"55","011092","شركة الأهلي المالية","SNB Capital","SNB Capital Global REITs Fund","صندوق الأهلي العالمي للريت","العقار العالمي",\N,"2","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"1","NCB.jpg","Idealratings Global REITs Index (REITs)",\N,"2007-12-31","0.9433","USD","0","-0.4","3","",\N,\N,"21021430.83","2023-01-05","يومي","Daily","يومي","Daily","1.0371","0","2021-10-28 18:49:10","2023-01-09 04:05:18","7,500"
"58","137004","شركة مُلكيّة للاستثمار","MULKIA INVESTMENT COMPANY","Mulkia Alajlan Riviera Fund","صندوق ملكية  العجلان ريڤييرا","صندوق ملكية العجلان ريڤييرا",\N,"1","صناديق عقارية",\N,\N,\N,"1","Mulkia.jfif","لا ينطبق",\N,"2021-08-29","10","SAR","0","21.23",\N,"",\N,\N,"64427511","2022-06-30","نصف سنوي","Semi-Annual","نصف سنوي","Semi-Annual","12.39","0","2021-10-28 18:49:10","2023-01-09 04:05:19","50,000"
"59","156007","بلوم للإستثمار السعودية","Blominvest Saudi Arabia","BLOMINVEST SR MURABAHA FUND","صندوق بلوم إنفست للمرابحة بالريال السعودي","صندوق بلوم للمرابحة بالريال السعودي",\N,"3","صناديق أسواق النقد - مرابحة بالريال السعودي",\N,\N,\N,"1","Blominvest.png","العائد على الودائع بالريال السعودي بين البنوك السعودية لشهر واحد (سايبور)",\N,"2021-10-03","10","SAR","0","0.1","1","",\N,\N,"163133933.9","2023-01-10","يومي","Daily","يومي","Daily","10.2211","0","2021-10-28 18:49:10","2023-01-12 04:17:55","10,000"
"61","012001","الراجحي المالية","Al Rajhi Capital","Al Rajhi Commdity fund USD","صندوق الراجحي للمضاربة بالبضائع بالدولار","البضائع دولار",\N,"1","صناديق أسواق النقد - مرابحة بعملات أجنبية",\N,\N,\N,"1","alraajihi.jpg","سعر الفائدة على القروض بمصارف لندن بالدولار - 3 شهور",\N,"1990-12-14","1668.5","USD","0","3.92","1","",\N,\N,"119458608.32","2023-01-10","يومي","Daily","يومي","Daily","2","0","2021-10-28 18:49:10","2023-01-12 04:17:55","2,000"
"62","012036","الراجحي المالية","Al Rajhi Capital","AL-RAJHI Sukuk Fund","صندوق الراجحي للصكوك","الراجحي للصكوك",\N,"1","صناديق أدوات دين - محلية",\N,\N,\N,"1","alraajihi.jpg","3 أشهر ليبور دولار امريكي + 75 نقطة اساس",\N,"2014-09-14","100.0014","SAR","0","-1.06","2","",\N,\N,"79727032.46","2022-12-22","مرتين بالشهر","Bimonthly","مرتين بالشهر","Bimonthly","118.2895","0","2021-10-28 18:49:10","2023-01-09 04:05:19","100,000"
"63","012003","الراجحي المالية","Al Rajhi Capital","Al-rajhi Global Equity Fund","صندوق الراجحي للاسهم العالمية","الاسهم العالمية",\N,"1","صناديق أدوات دين - محلية",\N,\N,\N,"1","alraajihi.jpg","مؤشر داو جونز لأسواق الأسهم الإسلامية",\N,"1996-07-27","108.82","USD","0","1.22","3","",\N,\N,"12132867.99","2023-01-04","الإثنين و الأربعاء","Monday and Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","300.1228","0","2021-10-28 18:49:10","2023-01-09 04:05:19","2,000"
