id,news_title_en,news_title_ar,news_brief_en,news_brief_ar,stock_id,news_link_en,news_link_ar
"2897","Project Awarding","ترسية مشروع","Naseej for Technology Co. announced the award of a project with the technical and vocational training Corporation on 2023-06-12 with a value of SR 41,546,476
The project aims to provide a platform for e-learning and training, content management and e-portfolios..","أعلنت شركة نسيج للتقنية عن ترسية مشروع مع المؤسسة العامة للتدريب التقني والمهني بتاريخ 2023-06-12 وبقيمة 41,546,476 ريال
بهدف توفير منصة للتعلم والتدريب الإلكتروني وإدارة المحتوى والحقائب الإلكترونية.","9538","https://t.co/I2M4sdFko1","https://t.co/ZJQ8dSvO6C"
"2896","The appointment of Financial Advisor","تعيين مستشار مالي","Fesh Fash Snack Food Production Company announces the appointment of Yaqeen Capital Company (Yaqeen Capital) as a financial advisor for the purposes of transfer from the parallel market (Nomu) to the main market based on the requirements of the updated and amended listing rules and referring to Resolution No. (1-108-2022) corresponding to 19/10/2022","أعلنت شركة مصنع فش فاش للمواد الغذائية عن تعيين شركة يقين المالية (يقين كابيتال) كمستشار مالي لأغراض الانتقال من السوق الموازية (نمو) إلى السوق الرئيسية بناء على قواعد الإدراج المحدثة والمعدلة بموجب قرار رقم (1-108-2022) الموافق 19/10/2022م.","9515","https://t.co/JsNkwVHoyz","https://t.co/4dF1rb9rFK"
"2895","Distribution of cash dividends","توزيع الأرباح النقدية","Sure Global Tech Co. announced the disbursement of profits for the fiscal year 2022, and it will start on Thursday corresponding to 06/07/2023, at the rate of two (2) riyals per share, or 20% of the nominal value of the share, and the exchange process will take place through Riyad Bank so that It will be deposited directly into the accounts of the shareholders","أعلنت شركة شور العالمية للتقنية عن صرف الأرباح عن السنة المالية 2022م، سـوف يبدأ عتباراً من يوم الخميس الموافق 06/07/2023م وذلك بواقع ريالين (2) ريال للسهم الواحد بنسبة 20% من القيمة الأسمية للسهم وسوف تتم عملية الصرف عن طريق بنك الرياض بحيث سيتم إيداعها مباشرة في حسابات المساهمين","9550","https://t.co/wCaEnJzlbz","https://t.co/KvxBpR9aM8"
"2894","Signing a contract","توقيع عقد","Al Moammar Information system co. (MIS) announced on 2023-06-12 the signing of a contract for the development of solutions for the Brooq visual communication system with the Saudi Authority for Data and Artificial Intelligence worth SAR 35,999,351 for a period of 36 months","أعلنت شركة المعمر لأنظمة المعلومات (ام اي اس) بتاريخ 2023-06-12 عن توقيع عقد مشروع تطوير حلول لنظام بروق للاتصال المرئي مع الهيئة السعودية للبيانات والذكاء الاصطناعي بقيمة 35,999,351 ولمدة 36 شهرا","7200","https://t.co/qHBj436S8i","https://t.co/kYbvbixpgT"
"2893","Results of the Ordinary General Assembly Meeting","نتائج اجتماع الجمعية العامة","Rawasi Albina Investment Co. announced the results of the Extraordinary General Assembly meeting held on 2023-06-12, through which it was approved:
- Appointment of El Sayed El Ayouty & Co., as an auditor for the company
- Approval of the discharge of the members of the board of directors for the financial year and approval of the payment of an amount of 000, 155 riyals bonus to the members of the board of directors for the year ending on 31/12/2022
- Approval of the division of the company's shares so that the nominal value of the share after the amendment becomes: SAR 1
- Number of shares before the amendment:5,500,000 shares
- Number of shares after adjustment: 55,000,000 shares","أعلنت شركة رواسي البناء للاستثمار عن نتائج اجتماع الجمعية العامة غير العادية الذي انعقد بتاريخ 2023-06-12 والذي تم من خلاله الموافقة على: 
- تعيين شركة السيد العيوطي وشركاه محاسبون قانونيون مراجعاً لحسابات للشركة 
- الموافقة على إبراء ذمة أعضاء مجلس الإدارة عن العام المالي والموافقة على صرف مبلغ 000, 155 ريال مكافأة لأعضاء مجلس الإدارة عن السنة المنتهية في 31/12/2022 
- الموافقة على تقسيم أسهم الشركة بحيث تصبح القيمة الأسمية للسهم بعد التعديل: 1 ريال 
- عدد الأسهم قبل التعديل:5,500,000 سهم 
- عدد الأسهم بعد التعديل :55,000,000 سهم","9547","https://t.co/i8MCacSV0H","https://t.co/fCeyUzmMUx"
"2892","Signing a contract","توقيع عقد","On 12-06-2023, Arabian Pipes Co. announced that it had won a contract to supply pipes to Saudi Aramco, with an estimated value of about 27 million riyals, for a period of 7 months.","أعلنت شركة العربية للأنابيب بتاريخ 2023-06-12 عن فوزها بعقد لتوريد أنابيب لشركة ارامكو السعودية بقيمة تقدر بحوالي 27 مليون ريال ولمدة 7 أشهر","2200","https://t.co/efhF4DRaST","https://t.co/6LLPjmqO1g"
"2891","Results of the Ordinary General Assembly Meeting","نتائج اجتماع الجمعية العامة","Tourism Enterprise Co. announced the results of the Extraordinary General Assembly meeting, which was held on 12-06-2023, where it was approved to appoint a mission office for professional consulting as the company's auditor, and to discharge the members of the Board of Directors from their liability for the fiscal year ending on December 31, 2022, and to approve an amendment The authorized capital is (1,200,000,000) riyals","أعلنت شركة المشروعات السياحية (شمس) عن نتائج اجتماع الجمعية العامة غير العادية والذي انعقد بتاريخ 2023-06-12 حيث تمت الموافقة على تعيين مكتب مهام للإستشارات المهنية كمراجع حسابات الشركة وابراء ذمة أعضاء مجلس الإدارة عن العام المالي المنتهي في 31 ديسمبر 2022 والموافقة على تعديل رأس المال المصرح به بقيمة (1,200,000,000) ريال","4170","https://t.co/J4Fyta9X0f","https://t.co/go9ekYrSLa"
"2890","Results of the Ordinary General Assembly Meeting","نتائج اجتماع الجمعية العامة","Allied Cooperative Insurance Group announced the results of the Ordinary General Assembly meeting held on 06-12-2023, where the company's auditors' report for the fiscal year 12/31/2022 was approved and the company's auditors were appointed, and the remuneration of the members of the Board of Directors was approved. Administration with a value of (1,050,904) riyals","أعلنت المجموعة المتحدة للتأمين التعاوني عن نتائج اجتماع الجمعية العامة العادية الذي عقد بتاريخ 2023-06-12، حيث تمت الموافقة على تقرير مراجعي حسابات الشركة عن السنة المالية 31/12/2022 والموافقة على تعيين مراجعي الحسابات للشركة وتمت أيضاً الموافقة على صرف مكافأة أعضاء مجلس الإدارة بقيمة (1,050,904) ريال","8150","https://t.co/ILbgO3Z92H","https://t.co/yBdelmu0m0"
"2889","Announcing that the fluctuation limits","احتساب نسبة التذبذب","Saudi Exchange announced on 06/13/2023 that the the fluctuation limits for Rawasi Albina Investment Co. will be based on a share price of SAR 5.90, and Edaa will add the division shares on Thursday corresponding to 06/15/2023","تم إعلان نسبة تذبذب سهم شركة رواسي البناء للاستثمار بتاريخ 13/06/2023 على أساس سعر 5.90 ريال، وستقوم إيداع بإضافة أسهم التقسيم في محافظ يوم الخميس 15/06/2023","9547","https://t.co/CqBRfGVM01","https://t.co/fiVTdGbqoK"
"2888","Announcing that the fluctuation limits","احتساب نسبة التذبذب","Saudi Exchange announced on 06/13/2023 that the the fluctuation limits for Tourism Enterprise Co. will be based on a share price of SAR 0.87, and Edaa will add the division shares on Thursday corresponding to 06/15/2023 AD","أعلنت تداول السعودية بتاريخ 13/06/2023م عن احتساب نسبة تذبذب السهم لشركة المشروعات السياحية بقيمة 0.87 ريال، كما ستقوم إيداع بإضافة أسهم التقسيم يوم الخميس الموافق 15/06/2023م","4170","https://t.co/Tgl64LswSg","https://t.co/9MwgJxzVHh"
"2887","Declaring the value of losses","اعلان قيمة الخسائر","Rabigh Refining and Petrochemical Co. announced losses of 3,538 million Saudi riyals, which constitutes 21.17% of the capital, and the reason is the sharp decrease in profit margins for refined and petrochemical products and the scheduled shutdown of the units of the second phase of the Petro Rabigh complex","أعلنت شركة رابغ للتكرير والبتروكيماويات عن خسائر بقيمة 3,538 مليون ريال سعودي ما يشكل 21.17% من رأس المال والسبب هو الانخفاض الحاد في هوامش الربح للمنتجات المكررة والبتروكيماوية وإيقاف التشغيل المجدول لوحدات المرحلة الثانية من مجمع بترورابغ","2380","https://t.co/68HCVSUk52","https://t.co/Wb3Wkjv4Mq"
"2886","Candidacy for membership of the Board of Directors","فتح باب الترشح لعضوية مجلس الإدارة","Tihama Company has announced the opening of candidacy for membership of the Board of Directors for 6 seats, which will start on 06-13-2023 and end on 08-13-2023, and 6 members of the Board of Directors will be elected at the next General Assembly meeting, which will be announced later after obtaining Necessary approvals.","أعلنت شركة تهامة عن فتح باب الترشح لعضوية مجلس الإدارة لعدد 6 مقاعد والذي سيبدأ بتاريخ 13 - 06 -2023 وينتهي بتاريخ 2023-08-13، وسيتم انتخاب عدد 6 أعضاء لمجلس الإدارة في اجتماع الجمعية العامة القادمة والذي سيتم الاعلان عنه لاحقا بعد الحصول على الموافقات اللازمة.","4070","https://t.co/R0Z3COFrxl","https://t.co/FyjqdrNlxi"
"2885","Distribution of compensation amounts","توزيع مبالغ التعويض","On 12-06-2023, Ash-sharqiyah Development Company announced the distribution of compensation amounts to right Issues Owners who did not Use their Rights to Subscribe to New Shares, with a total amount of 26,494,583 Saudi riyals.","أعلنت شركة الشرقية للتنمية بتاريخ 2023-06-12 عن توزيع مبالغ التعويض لحملة حقوق الأولوية ممن لم يمارسوا حقهم في الاكتتاب في الأسهم الجديدة بإجمالي مبلغ 26,494,583 ريال سعودي","6060","https://t.co/h25J7QkPOT","https://t.co/dco801gDXV"
"2884","Signing a renewal contract","توقيع عقد تجديد","Al Moammar Information Systems announced on 11-06-2023 the signing of a contract to renew and secure Microsoft licenses and programs with the Ministry of Municipal, Rural Affairs and Housing, with a total value of 83,136,600 Saudi riyals for a period of 3 years","أعلنت شركة المعمر لأنظمة المعلومات بتاريخ 2023-06-11 عن توقيع عقد تجديد وتأمين رخص وبرامج مايكروسوفت مع وزارة الشؤون البلدية والقروية والإسكان بقيمة اجمالية 83,136,600 ريال سعودي ولمدة 3 سنوات","7200","https://t.co/YPTwAhcnSL","https://t.co/bQY41r7zOj"
"2883","Signing a contract","توقيع عقد","Sure Technology announced on 11-06-2023 the signing of a contract for a project to provide and provide consulting services with the Ministry of Communications at a value of 14,818,440 Saudi riyals for a period of 4 years. 
""","أعلنت شركة شور للتقنية بتاريخ 2023-06-11 عن توقيع عقد مشروع توفير وتقديم الخدمات الاستشارية مع وزارة الاتصالات بقيمة 14,818,440 ريال سعودي ولمدة 4 سنوات","9550","https://t.co/5JQCdpuGoe","https://t.co/OwvT4wNbK3"
"2882","Buy new shares","شراء أسهم جديدة","The Red Sea International Co.announced on 09-06-2023 the purchase of 51% of the total capital of the First Fix Electrical Works Company Limited, for 544,170,000 riyals. The parties to the deal are Mr. Faris Esmat Al-Saadi and Mr. Ziyad Jan Al-Sayegh","أعلنت شركة البحر الأحمر العالمية بتاريخ 2023-06-09 عن شراء 51% من مجموع رأس المال لشركة التركيبات الاولية للاعمال الكهربائية المحدودة فيرست فيكس مقابل 544,170,000 ريال وأطراف الصفقة هم السيد فارس عصمت السعدي والسيد زياد جان الصايغ","4230","https://t.co/zj7sussCGz","https://t.co/Hpni3nBgYb"
"2881","Signing a contract","إعلان توقيع عقد","At a value of 84,456,024 Saudi Riyals for a period of 24 months, the Perfect Presentation for Commercial Services Co. announced the signing of a text messaging and digital link project contract with the Saudi Authority for Data and Artificial Intelligence","بقيمة 84,456,024 ولمدة 24 شهر، أعلنت شركة العرض المتقن للخدمات التجارية عن توقيع عقد مشروع الرسائل النصية والربط الرقمي مع الهيئة السعودية للبيانات والذكاء الاصطناعي","7204","https://t.co/Rsk5NuDE8z","https://t.co/l6AJikhHx0"
"2880","Signing a new contract","توقيع عقد جديد","(SOLUTIONS) co. announced that it had signed a contract with the National Center for Government Resources Systems on 06-11-2023 to implement the managed services project for unified operation. The duration of the contract is 42 months, with a value of 444,132,254 Saudi riyals","أعلنت شركة سلوشنز عن توقيعها عقد مع المركز الوطني لنظم الموارد الحكومية بتاريخ 2023-06-11 لتنفيذ مشروع الخدمات المدارة للتشغيل الموحد. مدة العقد 42 شهر بقيمة 444,132,254 ريال سعودي","7202","https://t.co/hCInoK9Ft0","https://t.co/VnfBiCW8Ny"
