id,sector_id,sector_name,sector_arabic_name
"1","1","Banks","البنوك"
"2","2","Capital Goods","السلع الرأسمالية"
"3","3","Commercial and Professional SVS","الخدمات التجارية والمهنية"
"4","4","Consumer Durables & Apparel","السلع طويلة الاجل"
"5","5","Consumer Services","الخدمات الإستهلاكية"
"6","6","Energy","الطاقه"
"7","7","Foods & Beverages","إنتاج الأغذية"
"8","8","Foods & Staples Retailing","تجزئة الأغذية"
"9","9","Health Care Equipment & Svc","الرعاية الصحية"
"10","10","Insurance","التأمين"
"11","11","Materials","المواد الأساسية"
"12","12","Diversified Financials","الإستثمار والتمويل"
"13","13","Media","الإعلام والترفيه"
"14","14","Real Estate Mgmt & Devt","إدارة وتطوير العقارات"
"15","15","Pharma Biotech & Life Science","الادوية"
"16","16","REITs","الصناديق العقارية المتداولة"
"17","17","Retailing","تجزئة السلع الكمالية"
"18","18","Software & Services","التطبيقات وخدمات التقنية"
"19","19","Telecommunication Services","الاتصالات"
"20","20","Transportation","النقل"
"21","21","Utilities","المرافق العامه"
"22","22","Others","أخرى"
"23","23","Sukok","صكوك"
"24","24","Fund","صناديق"
"25","25","Financial Services","الخدمات المالية"
"26","26","Industry","الصناعة"
"27","27","Services","الخدمات"
"28","28","Private Joint Stock","الشركات المساهمة الخاصة"
"29","29","Option","أدوات الدين"
"30","30","ETF","صناديق المؤشرات المتداولة"
"31","31","Non-Bahraini Companies","الشركات غير البحرينية"
"32","32","Closed Companies","الشركات المقفلة"
"33","33","Oil and Gas","النفط والغاز المتكامل"
"34","34","Distributors and Stores","الموزعين ومخازن البضائع"
"35","35","Hotels and Leisure Facilities","الفنادق والمرافق الترفيهية"
"36","36","Pharmacy and Biotechnology","الصيدلة والتكنلوجيا الحيوية"
"37","37","Food, Beverage and Tobacco","الأغذية والمشروبات والتبغ"
"38","38","Satellites","الأقمار الصناعية"
"39","39","Commercial Services","الخدمات التجارية"
"113","40","Cash","نقد"
"114","41","Stocks","اسهم"
"115","42","Numo","نمو"
"116","43","Murabaha","مرابحه"
"117","44","Credit","الذمم المدينة "
"118","45","IPO","اكتتاب"
